Player,Team,Pos,Pos2,Age,Matches ,Starts,Min,Min per match,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G per 90,A per 90,G+A,xG,npxG,xA,xG,xA,xG+xA
Joshua King,Watford,FW,,29,32,27,"2,248",70,5,3,4,1,1,5,0,0.2,0.12,0.32,8,7.2,3.2,0.32,0.13,0.45
Ben Foster,Watford,GK,,38,26,26,"2,340",90,0,1,0,0,0,0,0,0,0.04,0.04,0,0,0.2,0,0.01,0.01
Kiko Femenía,Watford,DF,,30,27,26,"2,142",79,0,5,0,0,0,2,0,0,0.21,0.21,0.1,0.1,3.2,0,0.14,0.14
Juraj Kucka,Watford,MF,,34,26,22,"1,920",73,1,1,1,0,0,5,1,0.05,0.05,0.09,3.1,3.1,0.9,0.15,0.04,0.19
Ismaila Sarr,Watford,FW,MF,23,22,21,"1,861",84,5,2,5,0,1,2,0,0.24,0.1,0.34,4.2,3.5,2.5,0.2,0.12,0.33
Tom Cleverley,Watford,MF,,31,28,20,"1,616",57,0,2,0,0,0,2,0,0,0.11,0.11,0.8,0.8,2,0.05,0.11,0.16
Samir Santos,Watford,DF,,26,19,19,"1,673",88,0,0,0,0,0,4,0,0,0,0,0.3,0.3,0.1,0.02,0.01,0.02
Hassane Kamara,Watford,DF,,27,19,18,"1,623",85,1,0,1,0,0,5,1,0.06,0,0.06,0.2,0.2,0.4,0.01,0.02,0.03
Imran Louza,Watford,MF,,22,20,17,"1,416",70,0,0,0,0,0,6,0,0,0,0,1.1,1.1,1,0.07,0.07,0.14
João Pedro,Watford,FW,MF,19,28,15,"1,644",58,3,1,3,0,0,1,0,0.16,0.05,0.22,4.2,4.2,2.6,0.23,0.14,0.37
William Troost-Ekong,Watford,DF,,27,17,15,"1,390",81,0,0,0,0,0,3,0,0,0,0,0.1,0.1,0.1,0.01,0.01,0.01
Adam Masina,Watford,DF,,27,15,13,"1,077",71,0,1,0,0,0,0,0,0,0.08,0.08,0.4,0.4,0.7,0.03,0.06,0.09
Christian Kabasele,Watford,DF,,30,16,12,"1,193",74,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0,0.05,0,0.06
Daniel Bachmann,Watford,GK,,27,12,12,"1,080",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cucho,Watford,FW,MF,22,25,11,"1,147",45,5,2,5,0,0,3,0,0.39,0.16,0.55,2.5,2.5,1.9,0.2,0.15,0.35
Jeremy Ngakia,Watford,DF,,20,16,9,903,56,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.01,0.05,0.06
Edo Kayembe,Watford,MF,,22,13,9,799,61,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.02,0.03,0.06
Ken Sema,Watford,MF,FW,27,18,7,852,47,0,0,0,0,0,1,0,0,0,0,0.2,0.2,1.2,0.02,0.13,0.14
Danny Rose,Watford,DF,,31,8,7,689,86,0,0,0,0,0,4,0,0,0,0,0.2,0.2,0.8,0.02,0.1,0.12
Francisco Sierralta,Watford,DF,,24,5,5,427,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01
Oghenekaro Etebo,Watford,MF,,25,9,4,401,44,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.01,0.01,0.02
Ozan Tufan,Watford,MF,,26,7,4,334,47,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.14,0.07,0.2
Samuel Kalu,Watford,FW,,23,4,2,222,55,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.12,0.06,0.18
Nicolas Nkoulou,Watford,DF,,31,3,2,168,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01
Dan Gosling,Watford,MF,,31,4,2,166,41,1,0,1,0,0,0,0,0.54,0,0.54,0.2,0.2,0,0.1,0.01,0.11
Ashley Fletcher,Watford,FW,,25,3,0,30,10,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,1.16,0,1.16
Troy Deeney,Watford,FW,,33,2,0,25,12,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,1.45,0.32,1.77
Vincent Angelini,Watford,GK,,17,0,0,,,,,,,,,,,,,,,,,,
Kwadwo Baah,Watford,FW,,18,0,0,,,,,,,,,,,,,,,,,,
Adrian Blake,Watford,FW,,16,0,0,,,,,,,,,,,,,,,,,,
Kamil Conteh,Watford,MF,,18,0,0,,,,,,,,,,,,,,,,,,
Tiago Çukur,Watford,FW,,18,0,0,,,,,,,,,,,,,,,,,,
Rob Elliot,Watford,GK,,35,0,0,,,,,,,,,,,,,,,,,,
Shaqai Forde,Watford,FW,,17,0,0,,,,,,,,,,,,,,,,,,
Jack Grieves,Watford,FW,,16,0,0,,,,,,,,,,,,,,,,,,
James Morris,Watford,DF,,19,0,0,,,,,,,,,,,,,,,,,,
?ukasz Fabia?ski,West Ham United,GK,,36,37,37,"3,330",90,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Declan Rice,West Ham United,MF,,22,36,35,"3,179",88,1,4,1,0,0,8,0,0.03,0.11,0.14,1.1,1.1,2,0.03,0.06,0.09
Tomáš Sou?ek,West Ham United,MF,,26,35,34,"3,062",87,5,1,5,0,0,3,0,0.15,0.03,0.18,4.8,4.4,1.5,0.14,0.05,0.19
Jarrod Bowen,West Ham United,FW,,24,36,34,"2,983",82,12,10,12,0,0,6,0,0.36,0.3,0.66,11.1,11.1,5.7,0.34,0.17,0.51
Michail Antonio,West Ham United,FW,,31,36,34,"2,971",82,10,8,10,0,1,8,1,0.3,0.24,0.55,11.1,10.8,6.6,0.34,0.2,0.54
Pablo Fornals,West Ham United,FW,MF,25,36,32,"2,795",77,6,3,6,0,0,4,0,0.19,0.1,0.29,5,5,5.6,0.16,0.18,0.34
Aaron Cresswell,West Ham United,DF,,31,31,31,"2,726",87,2,3,2,0,0,3,0,0.07,0.1,0.17,1.1,1.1,3.2,0.04,0.11,0.14
Craig Dawson,West Ham United,DF,,31,34,30,"2,754",81,2,2,2,0,0,5,1,0.07,0.07,0.13,2.9,2.9,0.5,0.09,0.01,0.11
Saïd Benrahma,West Ham United,FW,MF,25,32,26,"2,168",67,8,6,8,0,0,0,0,0.33,0.25,0.58,5.1,5.1,3.2,0.21,0.13,0.35
Vladimír Coufal,West Ham United,DF,,28,28,25,"2,209",78,0,4,0,0,0,5,1,0,0.16,0.16,0.6,0.6,2.4,0.02,0.1,0.12
Kurt Zouma,West Ham United,DF,,26,24,24,"2,078",86,1,0,1,0,0,1,0,0.04,0,0.04,0.9,0.9,0,0.04,0,0.04
Manuel Lanzini,West Ham United,MF,FW,28,30,19,"1,786",59,5,3,2,3,3,2,0,0.25,0.15,0.4,3.4,1.1,2.2,0.17,0.11,0.28
Ben Johnson,West Ham United,DF,,21,20,16,"1,397",69,1,0,1,0,0,1,0,0.06,0,0.06,0.1,0.1,0.8,0.01,0.05,0.06
Angelo Ogbonna,West Ham United,DF,,33,11,11,921,83,1,0,1,0,0,1,0,0.1,0,0.1,0.3,0.3,0,0.03,0,0.03
Issa Diop,West Ham United,DF,,24,13,10,963,74,0,1,0,0,0,0,0,0,0.09,0.09,0.1,0.1,0.1,0.01,0.01,0.02
Arthur Masuaku,West Ham United,DF,FW,27,13,6,650,50,1,1,1,0,0,1,0,0.14,0.14,0.28,0.1,0.1,0.9,0.01,0.12,0.14
Nikola Vlaši?,West Ham United,FW,MF,23,19,6,560,29,1,0,1,0,0,0,0,0.16,0,0.16,1,1,0.4,0.16,0.07,0.23
Mark Noble,West Ham United,MF,,34,11,3,332,30,1,0,0,1,2,0,0,0.27,0,0.27,1.5,0,0.2,0.41,0.06,0.47
Ryan Fredericks,West Ham United,DF,,28,7,3,307,43,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0.03,0.03
Andriy Yarmolenko,West Ham United,FW,,31,19,1,316,16,1,0,1,0,0,1,0,0.28,0,0.28,0.8,0.8,0.2,0.24,0.05,0.29
Alphonse Areola,West Ham United,GK,,28,1,1,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison Ashby,West Ham United,DF,,19,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonny Perkins,West Ham United,FW,,17,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Chesters,West Ham United,MF,,19,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Král,West Ham United,MF,,23,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajibola Alese,West Ham United,DF,,21,0,0,,,,,,,,,,,,,,,,,,
Jamal Baptiste,West Ham United,DF,,17,0,0,,,,,,,,,,,,,,,,,,
Conor Coventry,West Ham United,MF,,21,0,0,,,,,,,,,,,,,,,,,,
Pierre Ekwah Elimby,West Ham United,MF,,19,0,0,,,,,,,,,,,,,,,,,,
Armstrong Okoflex,West Ham United,MF,,19,0,0,,,,,,,,,,,,,,,,,,
Darren Randolph,West Ham United,GK,,34,0,0,,,,,,,,,,,,,,,,,,
Conor Coady,Wolverhampton Wanderers,DF,,28,38,38,"3,361",88,4,0,4,0,0,4,0,0.11,0,0.11,2,2,0,0.05,0,0.05
José Sá,Wolverhampton Wanderers,GK,,28,37,37,"3,285",88,0,1,0,0,0,3,0,0,0.03,0.03,0,0,1,0,0.03,0.03
João Moutinho,Wolverhampton Wanderers,MF,,34,35,34,"2,970",84,2,1,2,0,0,4,0,0.06,0.03,0.09,1,1,2.4,0.03,0.07,0.11
Romain Saïss,Wolverhampton Wanderers,DF,,31,31,31,"2,705",87,2,0,2,0,0,6,0,0.07,0,0.07,2.7,2.7,0.4,0.09,0.01,0.1
Rúben Neves,Wolverhampton Wanderers,MF,,24,33,31,"2,661",80,4,2,4,0,0,9,0,0.14,0.07,0.2,1.2,1.2,2.2,0.04,0.07,0.12
Max Kilman,Wolverhampton Wanderers,DF,,24,30,30,"2,687",89,1,0,1,0,0,3,0,0.03,0,0.03,1,1,0,0.03,0,0.03
Raúl Jiménez,Wolverhampton Wanderers,FW,,30,34,30,"2,631",77,6,4,5,1,1,9,2,0.21,0.14,0.34,6.6,6.1,2.7,0.23,0.09,0.32
Nélson Semedo,Wolverhampton Wanderers,DF,,27,25,25,"2,131",85,0,1,0,0,0,1,0,0,0.04,0.04,1.4,1.4,1.2,0.06,0.05,0.11
Leander Dendoncker,Wolverhampton Wanderers,MF,,26,30,21,"1,950",65,2,2,2,0,0,4,0,0.09,0.09,0.18,2.6,2.6,0.9,0.12,0.04,0.16
Rayan Aït Nouri,Wolverhampton Wanderers,DF,,20,23,20,"1,828",79,1,2,1,0,0,4,0,0.05,0.1,0.15,0.7,0.7,1.3,0.04,0.07,0.1
Hwang Hee-chan,Wolverhampton Wanderers,FW,MF,25,30,20,"1,816",60,5,1,5,0,0,2,0,0.25,0.05,0.3,4,4,1.7,0.2,0.08,0.28
Fernando Marçal,Wolverhampton Wanderers,DF,,32,18,17,"1,449",80,0,0,0,0,0,3,0,0,0,0,0.5,0.5,0.7,0.03,0.04,0.08
Francisco Trincão,Wolverhampton Wanderers,FW,MF,21,28,16,"1,336",47,2,1,2,0,0,0,0,0.13,0.07,0.2,3.4,3.4,1.2,0.23,0.08,0.31
Daniel Podence,Wolverhampton Wanderers,FW,MF,25,26,15,"1,484",57,2,3,2,0,0,2,0,0.12,0.18,0.3,1.9,1.9,3.8,0.12,0.23,0.35
Adama Traoré,Wolverhampton Wanderers,FW,,25,20,10,"1,067",53,1,0,1,0,0,0,0,0.08,0,0.08,2.4,2.4,1.7,0.2,0.15,0.35
Jonny Castro,Wolverhampton Wanderers,DF,,27,13,10,"1,024",78,2,0,2,0,0,1,0,0.18,0,0.18,0.8,0.8,1.2,0.07,0.1,0.17
Willy Boly,Wolverhampton Wanderers,DF,,30,10,10,900,90,0,0,0,0,0,1,0,0,0,0,0.2,0.2,0.1,0.02,0.01,0.03
Fábio Silva,Wolverhampton Wanderers,FW,,19,22,6,572,26,0,0,0,0,0,0,0,0,0,0,2.3,2.3,0.2,0.36,0.02,0.38
Pedro Neto,Wolverhampton Wanderers,FW,MF,21,13,5,466,35,1,1,1,0,0,3,0,0.19,0.19,0.39,1.5,1.5,1.1,0.29,0.22,0.51
Toti Gomes,Wolverhampton Wanderers,DF,,22,4,4,360,90,0,0,0,0,0,1,0,0,0,0,0.1,0.1,0,0.01,0,0.01
Ki-Jana Hoever,Wolverhampton Wanderers,DF,,19,8,4,308,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01,0.01,0.02
Luke Cundle,Wolverhampton Wanderers,MF,,19,4,2,180,45,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.12,0.12
Chiquinho,Wolverhampton Wanderers,DF,MF,21,8,1,208,26,0,3,0,0,0,0,0,0,1.3,1.3,0.3,0.3,0.6,0.13,0.27,0.41
John Ruddy,Wolverhampton Wanderers,GK,,34,2,1,135,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chem Campbell,Wolverhampton Wanderers,MF,,18,1,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan Gibbs-White,Wolverhampton Wanderers,FW,MF,21,2,0,9,4,0,0,0,0,0,1,0,0,0,0,0.1,0.1,0,1.22,0,1.22
Hugo Bueno,Wolverhampton Wanderers,DF,,18,0,0,,,,,,,,,,,,,,,,,,
Ryan John Giles,Wolverhampton Wanderers,MF,,21,0,0,,,,,,,,,,,,,,,,,,
Bruno Jordão,Wolverhampton Wanderers,MF,,22,0,0,,,,,,,,,,,,,,,,,,
Christian Marques,Wolverhampton Wanderers,DF,,18,0,0,,,,,,,,,,,,,,,,,,
Yerson Mosquera,Wolverhampton Wanderers,DF,,20,0,0,,,,,,,,,,,,,,,,,,
Louie Moulden,Wolverhampton Wanderers,GK,,19,0,0,,,,,,,,,,,,,,,,,,
Dion Sanderson,Wolverhampton Wanderers,DF,,21,0,0,,,,,,,,,,,,,,,,,,
James Storer,Wolverhampton Wanderers,GK,,,0,0,,,,,,,,,,,,,,,,,,
