Player,Team,Pos,Pos2,Age,Matches ,Starts,Min,Min per match,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G per 90,A per 90,G+A,xG,npxG,xA,xG,xA,xG+xA
Jason Steele,Brighton & Hove Albion,GK,,30,1,1,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Sarmiento,Brighton & Hove Albion,FW,MF,19,5,1,48,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor Richards,Brighton & Hove Albion,MF,FW,20,2,0,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0.14
Evan Ferguson,Brighton & Hove Albion,MF,,16,1,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jürgen Locadia,Brighton & Hove Albion,FW,,27,1,0,23,23,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.45,0,0.45
Florin Andone,Brighton & Hove Albion,FW,,28,0,0,,,,,,,,,,,,,,,,,,
Micha? Karbownik,Brighton & Hove Albion,DF,,20,0,0,,,,,,,,,,,,,,,,,,
Marc Leonard,Brighton & Hove Albion,MF,,19,0,0,,,,,,,,,,,,,,,,,,
Thomas Mcgill,Brighton & Hove Albion,GK,,21,0,0,,,,,,,,,,,,,,,,,,
Odeluga Offiah,Brighton & Hove Albion,DF,,18,0,0,,,,,,,,,,,,,,,,,,
Haydon Roberts,Brighton & Hove Albion,DF,,19,0,0,,,,,,,,,,,,,,,,,,
Kjell Scherpen,Brighton & Hove Albion,GK,,21,0,0,,,,,,,,,,,,,,,,,,
Ed Turns,Brighton & Hove Albion,DF,,18,0,0,,,,,,,,,,,,,,,,,,
Andi Zeqiri,Brighton & Hove Albion,FW,,22,0,0,,,,,,,,,,,,,,,,,,
Nick Pope,Burnley,GK,,29,36,36,"3,240",90,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0,0.01,0.01
Dwight McNeil,Burnley,MF,,21,38,35,"3,107",81,0,1,0,0,0,1,0,0,0.03,0.03,2.3,2.3,4.8,0.07,0.14,0.21
James Tarkowski,Burnley,DF,,28,35,35,"3,106",88,1,2,1,0,0,11,0,0.03,0.06,0.09,2,2,0.6,0.06,0.02,0.08
Josh Brownhill,Burnley,MF,,25,35,32,"2,955",84,2,3,2,0,0,10,0,0.06,0.09,0.15,1.4,1.4,2.5,0.04,0.08,0.12
Charlie Taylor,Burnley,DF,,27,31,30,"2,731",88,0,3,0,0,0,3,0,0,0.1,0.1,0.2,0.2,3.5,0.01,0.11,0.12
Ashley Westwood,Burnley,MF,,31,27,26,"2,287",84,0,3,0,0,0,7,0,0,0.12,0.12,0.8,0.8,3.6,0.03,0.14,0.17
Ben Mee,Burnley,DF,,31,21,21,"1,839",87,3,0,3,0,0,3,0,0.15,0,0.15,1.8,1.8,0.1,0.09,0,0.09
